Year,Firm,SigSize,Nar,CEO_Change,Narcissism_Change,Revenue,Total Assets,Total Expenses,Total Liabilities,Profit After Tax,ROE
2010,Bajaj Finance,5,1.6094,0,0,,4828.84,873.78,4828.84,89.41,0.15
2011,Bajaj Finance,5,1.6094,0,0,,8522.92,1222.51,8522.92,246.96,0.15
2012,Bajaj Finance,5,1.6094,0,0,,12932.74,1846.43,12932.74,406.44,0.17
2013,Bajaj Finance,5,1.6094,0,0,,17815.26,2593.66,17815.26,591.31,0.19
2014,Bajaj Finance,5,1.6094,0,0,,24630.07,3417.26,24630.07,719.01,0.17
2015,Bajaj Finance,5,1.6094,0,0,5392,34054.66,4659.83,34054.66,897.87,0.19
2016,Bajaj Finance,5,1.6094,0,0,7299,49473.94,6054.86,49473.94,1278.52,0.21
2017,Bajaj Finance,5,1.6094,0,0,9970,67292.96,8152.42,67292.96,1836.55,0.22
2018,Bajaj Finance,5,1.6094,0,0,12746,83156.49,10235.06,83156.49,2484.51,0.2
2019,Bajaj Finance,5,1.6094,0,0,18487,110543.14,13523.21,110543.14,3890.34,0.22
2020,Bajaj Finance,5,1.6094,0,0,26374,141644.01,19023.49,141644.01,4881.12,0.2
2021,Bajaj Finance,5,1.6094,0,0,26673,142272.58,19608.38,142272.58,3955.51,0.13
2022,Bajaj Finance,5,1.6094,0,0,31641,171984.08,21553.09,171984.08,6350.49,0.17
2023,Bajaj Finance,5,1.6094,0,0,41398,220417.99,25419.68,220417.99,10289.74,0.23
2010,HDFC Bank,7,1.9459,0,0,,222556.88,17210.26,222556.88,2948.7,0.2
2011,HDFC Bank,7,1.9459,0,0,,277428.77,20560.36,277428.77,3926.4,0.19
2012,HDFC Bank,7,1.9459,0,0,,337971.51,28981.76,337971.51,5167.09,0.21
2013,HDFC Bank,7,1.9459,0,0,35861,400389.85,35331.92,400389.85,6726.28,0.21
2014,HDFC Bank,7,1.9459,0,0,42555,491658.09,40873.39,491658.09,8478.38,0.22
2015,HDFC Bank,7,1.9459,0,0,50666,590576.01,47254.15,590576.01,10215.92,0.2
2016,HDFC Bank,7,1.9459,0,0,63162,740889.94,58709.86,740889.94,12296.21,0.19
2017,HDFC Bank,7,1.9459,0,0,73271,863961.69,67064.42,863961.69,14549.64,0.18
2018,HDFC Bank,7,1.9459,0,0,85288,1063988.06,78135.28,1063988.06,17486.73,0.18
2019,HDFC Bank,7,1.9459,0,0,105161,1244540.7,95535.01,1244540.7,21078.17,0.17
2020,HDFC Bank,7,1.9459,0,0,122189,1530511.27,112518.26,1530511.27,26257.32,0.16
2021,HDFC Bank,6,1.7918,0,0,128552,1746870.53,116450.94,1746870.53,31116.53,0.16
2022,HDFC Bank,6,1.7918,0,0,135936,2068535.05,120322.02,2068535.05,36961.36,0.17
2023,HDFC Bank,6,1.7918,1,0,170754,2466081.47,150113.26,2466081.47,44108.7,0.17
2010,Hindustan Unilever,6,1.7918,0,0,18462.34,9590.91,16834.13,9590.91,2202.03,0.2
2011,Hindustan Unilever,6,1.7918,0,0,20639.94,10401.91,19145.86,10401.91,2305.99,0.2
2012,Hindustan Unilever,6,1.7918,0,0,23181.09,11198.02,20815.5,11198.02,2691.4,0.21
2013,Hindustan Unilever,7,1.9459,0,1,27260.46,11776.2,24809.64,11776.2,3796.67,0.2
2014,Hindustan Unilever,7,1.9459,0,1,29557.9,13268.94,26936.53,13268.94,3867.49,0.22
2015,Hindustan Unilever,7,1.9459,1,1,32721.44,13941.92,29717.28,13941.92,4315.26,0.22
2016,Hindustan Unilever,7,1.9459,0,1,33491,14285,29997,14285,4137,0.47
2017,Hindustan Unilever,7,1.9459,0,1,34487,15224,30744,15224,4490,0.66
2018,Hindustan Unilever,7,1.9459,0,1,35218,17610,30799,17610,5237,0.72
2019,Hindustan Unilever,7,1.9459,0,1,38224,18365,32961,18365,6036,0.8
2020,Hindustan Unilever,7,1.9459,0,1,38785,19931,33178,19931,6738,0.84
2021,Hindustan Unilever,7,1.9459,0,1,45996,68895,39222,68895,7954,0.28
2022,Hindustan Unilever,7,1.9459,0,1,51193,70495,43083,70495,8818,0.18
2023,Hindustan Unilever,5,1.6094,1,0,59144,72500,50342,72500,9962,0.2
2010,ICICI Bank,8,2.0794,0,0,,363866.83,29164.95,363866.83,4024.98,0.12
2011,ICICI Bank,8,2.0794,0,0,,406678.09,27931.58,406678.09,5151.38,0.14
2012,ICICI Bank,8,2.0794,0,0,,489496.32,34987.18,489496.32,6465.26,0.13
2013,ICICI Bank,8,2.0794,0,0,44885,537262.94,40224.49,537262.94,8325.47,0.15
2014,ICICI Bank,8,2.0794,0,0,49479,596882.31,44795.56,596882.31,9810.48,0.15
2015,ICICI Bank,8,2.0794,0,0,49479,648784.16,50093.72,648784.16,11175.35,0.15
2016,ICICI Bank,8,2.0794,0,0,59294,723856.1,58799.05,723856.1,9726.29,0.11
2017,ICICI Bank,8,2.0794,0,0,60940,775158.84,64476.26,775158.84,9801.09,0.1
